id,Z,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
1,-4.377,46.545,-18.471,5.725,-0.599,-0.719,0.636,-0.328,0.101,-0.031,0.03,-0.032,0.042,-0.034
2,-8.755,73.427,-23.374,6.659,-0.241,-1.163,0.807,-0.39,0.106,-0.031,0.054,-0.069,0.075,-0.056
3,13.132,90.908,-22.771,5.915,0.483,-1.446,0.802,-0.353,0.046,-0.036,0.06,-0.089,0.057,-0.041
4,-17.509,103.961,-22.106,5.368,1.107,-1.526,0.735,-0.234,-0.004,-0.059,0.068,-0.09,0.019,-0.01
5,-21.886,114.677,-21.384,4.763,1.591,-1.528,0.608,-0.093,-0.013,-0.07,0.061,-0.054,-0.012,0.009
6,-26.264,123.734,-20.642,4.194,1.95,-1.496,0.447,-0.002,0.024,-0.095,0.061,-0.015,-0.031,0.015
7,-30.641,131.527,-19.902,3.687,2.191,-1.443,0.274,0.048,0.062,-0.107,0.063,0.007,-0.025,0.019
8,-35.018,138.334,-19.207,3.236,2.336,-1.338,0.118,0.053,0.088,-0.104,0.06,0.011,-0.009,0.024
9,-39.395,144.195,-18.492,2.886,2.376,-1.202,0.006,-0.001,0.102,-0.103,0.05,0.016,0.006,0.029
10,-43.773,149.321,-17.741,2.633,2.33,-1.044,-0.053,-0.083,0.101,-0.104,0.047,0.013,0.014,0.024
11,-48.15,153.856,-17.039,2.467,2.222,-0.879,-0.081,-0.173,0.08,-0.116,0.044,0.01,0.017,0.005
12,-52.527,157.791,-16.381,2.386,2.063,-0.729,-0.086,-0.252,0.048,-0.139,0.038,0.007,0.018,-0.013
13,-56.904,161.148,-15.778,2.368,1.864,-0.588,-0.066,-0.3,0.011,-0.169,0.024,0.01,0.013,-0.025
14,-61.282,164.034,-15.231,2.405,1.66,-0.473,-0.026,-0.315,-0.005,-0.199,0.007,0.006,0.009,-0.038
15,-65.659,166.464,-14.747,2.456,1.435,-0.396,0.003,-0.304,0.001,-0.219,-0.008,0.001,0.006,-0.051
16,-70.036,168.485,-14.342,2.532,1.2,-0.354,0,-0.283,0.031,-0.225,-0.016,0,0.004,-0.063
17,-74.414,170.132,-13.987,2.625,0.995,-0.327,-0.03,-0.265,0.061,-0.219,-0.017,0.001,0.006,-0.075
18,-78.791,171.489,-13.641,2.769,0.839,-0.305,-0.082,-0.258,0.078,-0.225,-0.024,0.004,0.007,-0.085
19,-83.168,172.642,-13.295,2.993,0.762,-0.257,-0.149,-0.266,0.067,-0.254,-0.053,-0.01,-0.008,-0.099
20,-87.545,173.627,-12.882,3.284,0.748,-0.201,-0.215,-0.29,0.04,-0.286,-0.087,-0.027,-0.02,-0.111
21,-91.923,174.409,-12.479,3.607,0.732,-0.192,-0.295,-0.325,-0.001,-0.313,-0.098,-0.027,-0.021,-0.11
22,-96.3,174.989,-12.116,3.887,0.663,-0.255,-0.403,-0.378,-0.036,-0.317,-0.082,0.009,0.01,-0.1
23,-100.677,175.315,-11.801,4.085,0.469,-0.43,-0.504,-0.436,-0.07,-0.263,-0.006,0.069,0.061,-0.066
24,105.082,175.192,-11.786,4.134,0.155,-0.655,-0.578,-0.46,-0.07,-0.186,0.067,0.134,0.118,-0.038
25,-109.487,174.839,-11.829,4.107,-0.209,-0.899,-0.635,-0.481,-0.075,-0.115,0.15,0.205,0.178,-0.003
26,-113.891,174.196,-11.975,3.961,-0.661,-1.153,-0.672,-0.523,-0.126,-0.045,0.225,0.279,0.27,0.063
27,-118.296,173.26,-12.261,3.702,-1.144,-1.372,-0.719,-0.548,-0.198,-0.02,0.282,0.374,0.372,0.149
28,122.701,172.081,-12.643,3.352,-1.628,-1.512,-0.744,-0.568,-0.288,-0.064,0.306,0.464,0.491,0.262
29,-127.106,170.794,-13.035,3.032,-2.035,-1.522,-0.66,-0.547,-0.379,-0.153,0.298,0.512,0.609,0.418
30,-131.51,169.483,-13.384,2.77,-2.339,-1.402,-0.427,-0.38,-0.335,-0.179,0.308,0.56,0.71,0.552
31,-135.804,168.101,-13.483,2.585,-2.649,-1.193,0.068,0.087,0.035,0.136,0.5,0.623,0.747,0.562
32,-140.098,167.19,-13.147,2.603,-2.771,-0.939,0.436,0.54,0.459,0.417,0.668,0.656,0.706,0.492
33,-144.392,166.567,-12.426,2.834,-2.803,-0.707,0.716,0.931,0.9,0.749,0.819,0.652,0.676,0.418
34,-148.686,166.215,-11.482,3.128,-2.732,-0.453,0.823,1.203,1.315,0.995,0.907,0.68,0.657,0.334
35,-152.98,165.833,-10.486,3.482,-2.639,-0.245,0.855,1.386,1.543,1.171,1.029,0.705,0.646,0.359
36,-157.274,165.295,-9.554,3.845,-2.537,0.042,0.886,1.495,1.75,1.357,1.129,0.787,0.739,0.439
37,-161.568,164.498,-8.746,4.298,-2.414,0.403,1.014,1.618,1.918,1.57,1.275,0.909,0.871,0.548
38,-165.862,163.637,-8.032,4.773,-2.119,0.892,1.151,1.785,2.119,1.74,1.409,1.053,0.955,0.59
39,-170.156,162.644,-7.566,5.266,-1.703,1.438,1.3,1.953,2.263,1.76,1.412,1.084,0.877,0.452
40,-175.182,160.064,-8.095,5.211,-1.989,1.374,1.076,1.649,1.836,1.42,1.223,0.936,0.746,0.408
41,-180.208,156.635,-9.58,4.492,-2.874,0.702,0.223,0.724,0.806,0.543,0.573,0.399,0.337,0.147
42,-185.399,154.77,-9.709,5.313,-2.337,1.18,0.369,0.65,0.547,0.258,0.35,0.203,0.166,0.021
43,-190.59,152.995,-9.75,6.422,-1.727,1.627,0.614,0.66,0.343,0.087,0.247,0.082,0.077,-0.025
44,-195.781,150.866,-10.074,7.574,-1.234,1.905,0.819,0.688,0.261,0.089,0.297,0.072,0.091,0.024
45,-199.037,148.438,-11.172,7.719,-1.517,1.562,0.606,0.47,0.142,0.087,0.334,0.111,0.128,0.08
46,-202.293,145.787,-12.434,7.916,-1.83,1.143,0.376,0.252,0.011,0.084,0.36,0.109,0.192,0.115
47,-206.198,143.902,-12.959,9.1,-1.359,1.365,0.669,0.419,0.161,0.243,0.467,0.12,0.219,0.126
48,-210.104,141.883,-13.551,10.357,-0.863,1.518,0.959,0.575,0.286,0.325,0.526,0.082,0.211,0.115
49,-215.053,137.817,-15.531,11.25,-1.272,0.728,0.691,0.194,-0.048,0.018,0.314,-0.145,0.044,0.032
50,-220.001,134.154,-17.315,12.733,-1.384,0.167,0.75,0.107,0.125,-0.069,0.308,-0.235,0.012,0.039
51,-224.663,131.007,-18.68,14.634,-1.084,-0.275,0.917,0.16,-0.087,-0.041,0.369,-0.222,0.05,0.077
52,-229.324,127.708,-20.188,16.9,-0.501,-0.705,1.068,0.137,-0.051,-0.017,0.433,-0.245,0.068,0.124
53,-233.704,124.057,-22.222,18.922,0.261,-1.04,1.14,-0.059,-0.147,-0.084,0.438,-0.267,0.042,0.151
54,-238.084,119.305,-25.227,20.676,1.272,-1.14,1.399,-0.298,-0.278,-0.245,0.351,-0.3,-0.01,0.168
55,-242.465,113.09,-29.878,21.577,2.096,-0.9,2.145,-0.27,-0.188,-0.332,0.216,-0.352,-0.105,0.16
56,-247.002,100.154,-40.882,18.111,0.262,-2.698,2.147,-0.38,0.056,-0.261,0.313,-0.039,-0.156,0.259
